Wavelength	n	k
7.92	3.96216	0
7.94	3.96213	0
7.96	3.96209	0
7.98	3.96206	0
8	3.96203	0
8.02	3.962	0
8.04	3.96196	0
8.06	3.96193	0
8.08	3.9619	0
8.1	3.96187	0
8.12	3.96184	0
8.14	3.9618	0
8.16	3.96177	0
8.18	3.96174	0
8.2	3.96171	0
8.22	3.96168	0
8.24	3.96165	0
8.26	3.96162	0
8.28	3.96159	0
8.3	3.96156	0
8.32	3.96153	0
8.34	3.9615	0
8.36	3.96148	0
8.38	3.96145	0
8.4	3.96142	0
8.42	3.96139	0
8.44	3.96136	0
8.46	3.96133	0
8.48	3.96131	0
8.5	3.96128	0
8.52	3.96125	0
8.54	3.96123	0
8.56	3.9612	0
8.58	3.96117	0
8.6	3.96115	0
8.62	3.96112	0
8.64	3.96109	0
8.66	3.96107	0
8.68	3.96104	0
8.7	3.96102	0
8.72	3.96099	0
8.74	3.96096	0
8.76	3.96094	0
8.78	3.96091	0
8.8	3.96089	0
8.82	3.96087	0
8.84	3.96084	0
8.86	3.96082	0
8.88	3.96079	0
8.9	3.96077	0
8.92	3.96074	0
8.94	3.96072	0
8.96	3.9607	0
8.98	3.96067	0
9	3.96065	0
9.02	3.96063	0
9.04	3.96061	0
9.06	3.96058	0
9.08	3.96056	0
9.1	3.96054	0
9.12	3.96052	0
9.14	3.96049	0
9.16	3.96047	0
9.18	3.96045	0
9.2	3.96043	0
9.22	3.96041	0
9.24	3.96039	0
9.26	3.96036	0
9.28	3.96034	0
9.3	3.96032	0
9.32	3.9603	0
9.34	3.96028	0
9.36	3.96026	0
9.38	3.96024	0
9.4	3.96022	0
9.42	3.9602	0
9.44	3.96018	0
9.46	3.96016	0
9.48	3.96014	0
9.5	3.96012	0
9.52	3.9601	0
9.54	3.96008	0
9.56	3.96006	0
9.58	3.96004	0
9.6	3.96002	0
9.62	3.96	0
9.64	3.95999	0
9.66	3.95997	0
9.68	3.95995	0
9.7	3.95993	0
9.72	3.95991	0
9.74	3.95989	0
9.76	3.95988	0
9.78	3.95986	0
9.8	3.95984	0
9.82	3.95982	0
9.84	3.9598	0
9.86	3.95979	0
9.88	3.95977	0
9.9	3.95975	0
9.92	3.95973	0
9.94	3.95972	0
9.96	3.9597	0
9.98	3.95968	0
10	3.95967	0
10.02	3.95965	0
10.04	3.95963	0
10.06	3.95962	0
10.08	3.9596	0
10.1	3.95958	0
10.12	3.95957	0
10.14	3.95955	0
10.16	3.95954	0
10.18	3.95952	0
10.2	3.9595	0
10.22	3.95949	0
10.24	3.95947	0
10.26	3.95946	0
10.28	3.95944	0
10.3	3.95943	0
10.32	3.95941	0
10.34	3.95939	0
10.36	3.95938	0
10.38	3.95936	0
10.4	3.95935	0
10.42	3.95933	0
10.44	3.95932	0
10.46	3.95931	0
10.48	3.95929	0
10.5	3.95928	0
10.52	3.95926	0
10.54	3.95925	0
10.56	3.95923	0
10.58	3.95922	0
10.6	3.9592	0
10.62	3.95919	0
10.64	3.95918	0
10.66	3.95916	0
10.68	3.95915	0
10.7	3.95913	0
10.72	3.95912	0
10.74	3.95911	0
10.76	3.95909	0
10.78	3.95908	0
10.8	3.95907	0
10.82	3.95905	0
10.84	3.95904	0
10.86	3.95903	0
10.88	3.95901	0
10.9	3.959	0
10.92	3.95899	0
10.94	3.95898	0
10.96	3.95896	0
10.98	3.95895	0
11	3.95894	0
