Wavelength	n	k
2.3	1.734	0.02
2.31	1.733	0.02
2.32	1.733	0.02
2.33	1.733	0.02
2.34	1.733	0.02
2.35	1.733	0.02
2.36	1.733	0.02
2.37	1.732	0.02
2.38	1.732	0.021
2.39	1.732	0.02
2.4	1.732	0.021
2.41	1.732	0.02
2.42	1.732	0.02
2.43	1.732	0.02
2.44	1.732	0.019
2.45	1.732	0.02
2.46	1.732	0.019
2.47	1.731	0.019
2.48	1.731	0.019
2.49	1.73	0.018
2.5	1.729	0.018
2.5063	1.729	0.019
2.5126	1.729	0.019
2.5189	1.729	0.019
2.5253	1.728	0.019
2.5316	1.728	0.018
2.5381	1.728	0.019
2.5445	1.728	0.019
2.551	1.728	0.019
2.5575	1.727	0.019
2.5641	1.727	0.019
2.5707	1.727	0.019
2.5773	1.727	0.019
2.584	1.727	0.02
2.5907	1.726	0.019
2.5974	1.726	0.019
2.6042	1.726	0.019
2.611	1.726	0.02
2.6178	1.726	0.02
2.6247	1.726	0.02
2.6316	1.725	0.02
2.6385	1.725	0.02
2.6455	1.725	0.02
2.6525	1.725	0.02
2.6596	1.725	0.02
2.6667	1.724	0.02
2.6738	1.724	0.02
2.681	1.725	0.02
2.6882	1.725	0.02
2.6954	1.724	0.02
2.7027	1.724	0.019
2.71	1.723	0.019
2.7174	1.723	0.019
2.7248	1.722	0.02
2.7322	1.722	0.021
2.7397	1.722	0.021
2.7473	1.723	0.021
2.7548	1.723	0.021
2.7624	1.723	0.021
2.7701	1.723	0.021
2.7778	1.722	0.021
2.7855	1.722	0.021
2.7933	1.722	0.02
2.8011	1.722	0.02
2.809	1.722	0.021
2.8169	1.722	0.021
2.8249	1.721	0.021
2.8329	1.721	0.021
2.8409	1.721	0.02
2.849	1.721	0.02
2.8571	1.72	0.021
2.8653	1.72	0.021
2.8736	1.72	0.02
2.8818	1.72	0.02
2.8902	1.72	0.02
2.8986	1.72	0.02
2.907	1.719	0.02
2.9155	1.719	0.02
2.924	1.719	0.02
2.9326	1.718	0.02
2.9412	1.718	0.02
2.9499	1.718	0.021
2.9586	1.718	0.021
2.9674	1.717	0.021
2.9762	1.718	0.02
2.9851	1.718	0.02
2.994	1.717	0.02
3.003	1.717	0.021
3.012	1.717	0.02
3.0211	1.717	0.02
3.0303	1.716	0.019
3.0395	1.716	0.019
3.0488	1.715	0.02
3.0581	1.715	0.02
3.0675	1.715	0.019
3.0769	1.714	0.019
3.0864	1.714	0.019
3.096	1.713	0.02
3.1056	1.713	0.019
3.1153	1.712	0.019
3.125	1.712	0.019
3.1348	1.712	0.02
3.1447	1.712	0.02
3.1546	1.712	0.02
3.1646	1.711	0.019
3.1746	1.711	0.019
3.1847	1.71	0.019
3.1949	1.709	0.02
3.2051	1.709	0.021
3.2154	1.709	0.02
3.2258	1.709	0.02
3.2362	1.708	0.02
3.2468	1.708	0.02
3.2573	1.707	0.021
3.268	1.707	0.02
3.2787	1.707	0.02
3.2895	1.706	0.02
3.3003	1.706	0.02
3.3113	1.706	0.021
3.3223	1.705	0.021
3.3333	1.705	0.021
3.3445	1.705	0.02
3.3557	1.704	0.02
3.367	1.704	0.021
3.3784	1.703	0.021
3.3898	1.702	0.021
3.4014	1.702	0.021
3.413	1.702	0.021
3.4247	1.701	0.022
3.4364	1.701	0.023
3.4483	1.701	0.023
3.4602	1.701	0.022
3.4722	1.701	0.022
3.4843	1.701	0.022
3.4965	1.7	0.022
3.5088	1.7	0.022
3.5211	1.7	0.022
3.5336	1.699	0.021
3.5461	1.699	0.021
3.5587	1.699	0.021
3.5714	1.698	0.021
3.5842	1.698	0.021
3.5971	1.697	0.02
3.6101	1.697	0.02
3.6232	1.696	0.02
3.6364	1.695	0.02
3.6496	1.694	0.02
3.663	1.694	0.019
3.6765	1.693	0.019
3.69	1.692	0.019
3.7037	1.692	0.02
3.7175	1.691	0.02
3.7313	1.69	0.02
3.7453	1.69	0.019
3.7594	1.689	0.019
3.7736	1.688	0.021
3.7879	1.687	0.021
3.8023	1.687	0.02
3.8168	1.686	0.02
3.8314	1.685	0.02
3.8462	1.684	0.021
3.861	1.684	0.021
3.8911	1.683	0.021
3.8976	1.683	0.021
3.9063	1.682	0.02
3.9216	1.681	0.02
3.937	1.68	0.021
3.9526	1.679	0.021
3.9683	1.678	0.021
3.9841	1.677	0.02
4	1.676	0.021
4.0161	1.676	0.022
4.0323	1.675	0.023
4.0486	1.674	0.023
4.065	1.674	0.022
4.0816	1.673	0.022
4.0984	1.672	0.023
4.1152	1.672	0.024
4.1322	1.671	0.024
4.1494	1.67	0.023
4.1667	1.67	0.023
4.1841	1.669	0.024
4.2017	1.668	0.024
4.2194	1.667	0.024
4.2373	1.667	0.024
4.2553	1.666	0.023
4.2735	1.665	0.023
4.2918	1.664	0.024
4.3103	1.663	0.024
4.329	1.662	0.023
4.3478	1.66	0.023
4.3668	1.659	0.023
4.386	1.658	0.024
4.4053	1.657	0.025
4.4248	1.656	0.025
4.4444	1.655	0.025
4.4643	1.654	0.025
4.4843	1.653	0.026
4.5045	1.652	0.026
4.5249	1.651	0.026
4.5455	1.65	0.026
4.5662	1.649	0.026
4.5872	1.647	0.027
4.6083	1.646	0.028
4.6296	1.645	0.028
4.6512	1.644	0.028
4.6729	1.643	0.028
4.6948	1.642	0.029
4.717	1.642	0.029
4.7393	1.641	0.03
4.7619	1.639	0.03
4.7847	1.638	0.029
4.8077	1.637	0.029
4.8309	1.636	0.03
4.8544	1.634	0.031
4.878	1.633	0.031
4.902	1.633	0.031
4.9261	1.632	0.031
4.9505	1.631	0.031
4.9751	1.629	0.031
5	1.628	0.032
5.0251	1.627	0.032
5.0505	1.626	0.031
5.0761	1.624	0.031
5.102	1.623	0.032
5.1282	1.621	0.032
5.1546	1.62	0.032
5.1813	1.619	0.031
5.2083	1.617	0.03
5.2356	1.616	0.031
5.2632	1.614	0.031
5.291	1.612	0.031
5.3191	1.61	0.03
5.3476	1.608	0.03
5.3763	1.606	0.03
5.4054	1.604	0.031
5.4348	1.602	0.031
5.4645	1.6	0.031
5.4945	1.598	0.03
5.5249	1.596	0.03
5.5556	1.593	0.031
5.5866	1.591	0.032
5.618	1.589	0.032
5.6497	1.587	0.031
5.6818	1.584	0.03
5.7143	1.582	0.031
5.7471	1.579	0.031
5.7803	1.576	0.032
5.814	1.573	0.032
5.848	1.571	0.032
5.8824	1.568	0.032
5.9172	1.565	0.033
5.9524	1.562	0.034
5.988	1.56	0.034
6.0241	1.557	0.034
6.0606	1.554	0.034
6.0976	1.551	0.035
6.135	1.548	0.036
